exp,step,accuracy_percent,total_samples,correct_predictions,csv_path
grpo_train_cifar100_test_cifar100_qwen2_5,400,55.57,10000,5557,./grpo_train_cifar100_test_cifar100_qwen2_5/400_steps/400_steps_20250813_091804_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,800,56.95,10000,5695,./grpo_train_cifar100_test_cifar100_qwen2_5/800_steps/800_steps_20250813_092037_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,1200,49.97,10000,4997,./grpo_train_cifar100_test_cifar100_qwen2_5/1200_steps/1200_steps_20250813_092250_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,1600,56.88,10000,5688,./grpo_train_cifar100_test_cifar100_qwen2_5/1600_steps/1600_steps_20250813_092530_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,2000,62.21,10000,6221,./grpo_train_cifar100_test_cifar100_qwen2_5/2000_steps/2000_steps_20250813_092740_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,2400,63.47,10000,6347,./grpo_train_cifar100_test_cifar100_qwen2_5/2400_steps/2400_steps_20250813_092948_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,2800,64.48,10000,6448,./grpo_train_cifar100_test_cifar100_qwen2_5/2800_steps/2800_steps_20250813_093156_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,3200,64.76,10000,6476,./grpo_train_cifar100_test_cifar100_qwen2_5/3200_steps/3200_steps_20250813_093405_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,3600,65.15,10000,6515,./grpo_train_cifar100_test_cifar100_qwen2_5/3600_steps/3600_steps_20250813_093619_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,4000,68.39,10000,6839,./grpo_train_cifar100_test_cifar100_qwen2_5/4000_steps/4000_steps_20250813_093827_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,4400,70.87,10000,7087,./grpo_train_cifar100_test_cifar100_qwen2_5/4400_steps/4400_steps_20250813_094035_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,4800,67.85,10000,6785,./grpo_train_cifar100_test_cifar100_qwen2_5/4800_steps/4800_steps_20250813_094242_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,5200,68.39,10000,6839,./grpo_train_cifar100_test_cifar100_qwen2_5/5200_steps/5200_steps_20250813_094452_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,5600,69.23,10000,6923,./grpo_train_cifar100_test_cifar100_qwen2_5/5600_steps/5600_steps_20250813_094700_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,6000,71.22,10000,7122,./grpo_train_cifar100_test_cifar100_qwen2_5/6000_steps/6000_steps_20250813_094917_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,6400,72.46,10000,7246,./grpo_train_cifar100_test_cifar100_qwen2_5/6400_steps/6400_steps_20250813_095124_accuracy.csv
grpo_train_cifar100_test_cifar100_qwen2_5,6800,71.85,10000,7185,./grpo_train_cifar100_test_cifar100_qwen2_5/6800_steps/6800_steps_20250813_095334_accuracy.csv
